Djibouti,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",1.0956624473390542,0.15341260671375317,1.1 (10%),0.15 (2.4%)
"Accelerate
reconstruction
(by 33%)",0.5867883837915696,0.0,0.59 (5.5%),0 (0%)
"Postdisaster
support
package",0.4686052973591946,-9.313225746154785e-16,0.47 (4.4%),-0 (-0%)
"Universal
access to
finance",0.42144975028449483,0.0,0.42 (3.9%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",0.3970836045065913,0.35889592622209154,0.4 (3.7%),0.36 (5.7%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",0.36355991844338176,0.04625882270886004,0.36 (3.4%),0.05 (0.73%)
"Develop market
insurance
(nonpoor people)",0.33462215495721437,0.0,0.33 (3.1%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",0.31018410194317064,0.0,0.31 (2.9%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",0.12313886483523621,0.10753131336869112,0.12 (1.1%),0.11 (1.7%)
"Universal
access to early
warnings",0.06388551275292412,0.035203509631095455,0.06 (0.6%),0.04 (0.55%)
"Increase
income of the
poor 10%",0.025296060988150536,-0.06167843027848098,0.03 (0.24%),-0.06 (-0.97%)
