Paraguay,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",20.374202415796784,1.8243657083494662,20 (10%),1.8 (1.8%)
"Accelerate
reconstruction
(by 33%)",15.662515843822359,0.0,16 (7.8%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",13.630475589617788,0.0,14 (6.8%),0 (0%)
"Universal
access to early
warnings",9.984622126863211,4.868486287154287,10 (5%),4.9 (4.8%)
"Universal
access to
finance",7.904074442315966,0.0,7.9 (3.9%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",7.436389289542466,0.5926950783292055,7.4 (3.7%),0.59 (0.58%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",7.268130711255222,6.020793457699999,7.3 (3.6%),6 (5.9%)
"Postdisaster
support
package",6.774930297841816,0.0,6.8 (3.4%),0 (0%)
"Develop market
insurance
(nonpoor people)",4.851859496830254,0.0,4.9 (2.4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",2.0705612471948562,1.7687927059847264,2.1 (1%),1.8 (1.7%)
"Increase
income of the
poor 10%",1.4636171920475363,-0.7902601044389456,1.5 (0.73%),-0.79 (-0.77%)
