Moldova,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Universal
access to early
warnings",17.647438976692438,12.734456549230963,18 (9.1%),13 (8.8%)
"Reduce exposure
of the poor by 5%
of total exposure",13.410170576271385,3.982901812440544,13 (6.9%),4 (2.7%)
"Accelerate
reconstruction
(by 33%)",10.19130402607575,0.0,10 (5.2%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",9.066673802267044,7.897248350842475,9.1 (4.7%),7.9 (5.4%)
"Develop market
insurance
(nonpoor people)",7.724606086742728,0.0,7.7 (4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",3.486571524658322,0.9664883597183823,3.5 (1.8%),0.97 (0.67%)
"Universal
access to
finance",3.419617567714214,0.0,3.4 (1.8%),0 (0%)
"Postdisaster
support
package",3.2839168773195744,2.980232238769531e-14,3.3 (1.7%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",2.9176913939736484,2.4823828462436794,2.9 (1.5%),2.5 (1.7%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-0.8161277454794943,-1.2886511462911963,-0.82 (-0.42%),-1.3 (-0.89%)
