"Congo, Dem. Rep.",Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Increase social
transfers to poor
people to at
least 33%",162.94120905019963,0.0,160 (18%),0 (0%)
"Universal
access to early
warnings",123.5822455821377,54.92770064294111,120 (14%),55 (12%)
"Postdisaster
support
package",94.08345749609029,0.0,94 (11%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",72.73393098768281,8.170185591323136,73 (8.1%),8.2 (1.8%)
"Accelerate
reconstruction
(by 33%)",47.49893334262395,0.0,47 (5.3%),0 (0%)
"Universal
access to
finance",42.56399370953798,0.0,43 (4.8%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",41.19305390891325,3.9629926261500117,41 (4.6%),4 (0.87%)
"Develop market
insurance
(nonpoor people)",35.15964102555084,0.0,35 (3.9%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",31.436977803735612,29.72866140680927,31 (3.5%),30 (6.5%)
"Increase
income of the
poor 10%",14.02632168859434,-5.283990168200075,14 (1.6%),-5.3 (-1.2%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",8.833227459712505,7.543236102682888,8.8 (0.99%),7.5 (1.7%)
