Chile,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",635.7332434569225,71.91676339224433,640 (9.3%),72 (1.9%)
"Accelerate
reconstruction
(by 33%)",495.058331870738,0.0,500 (7.2%),0 (0%)
"Universal
access to
finance",289.8508676078434,0.0,290 (4.2%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",273.3868126999349,213.2329856407113,270 (4%),210 (5.8%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",209.52049874123477,21.705015995709417,210 (3.1%),22 (0.59%)
"Develop market
insurance
(nonpoor people)",147.10499036129093,0.0,150 (2.1%),0 (0%)
"Postdisaster
support
package",97.57593810404586,0.0,98 (1.4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",78.27843928450679,63.87354294316721,78 (1.1%),64 (1.7%)
"Universal
access to early
warnings",37.33098494667053,19.56423845930767,37 (0.54%),20 (0.53%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-11.940072954776763,-28.94002132761383,-12 (-0.17%),-29 (-0.78%)
