Jamaica,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",55.92648288772225,6.823321330344617,56 (9.3%),6.8 (2%)
"Accelerate
reconstruction
(by 33%)",47.41019456530082,0.0,47 (7.9%),0 (0%)
"Universal
access to early
warnings",26.28404528617406,14.195027300001442,26 (4.4%),14 (4.2%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",23.717785726159928,19.612764491576613,24 (3.9%),20 (5.8%)
"Postdisaster
support
package",21.275539595285057,0.0,21 (3.5%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",20.661769077058434,0.0,21 (3.4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",18.419810655479072,2.084932053543627,18 (3.1%),2.1 (0.61%)
"Develop market
insurance
(nonpoor people)",16.339213759393452,0.0,16 (2.7%),0 (0%)
"Universal
access to
finance",13.075547292708873,0.0,13 (2.2%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",7.210318543100595,5.856569050751328,7.2 (1.2%),5.9 (1.7%)
"Increase
income of the
poor 10%",2.280565674184084,-2.7799094047248363,2.3 (0.38%),-2.8 (-0.82%)
