Russian Federation,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Universal
access to early
warnings",2302.124399385967,1181.7849244164715,2300 (19%),1200 (19%)
"Reduce exposure
of the poor by 5%
of total exposure",1329.5280003243522,230.6749936038084,1300 (11%),230 (3.6%)
"Accelerate
reconstruction
(by 33%)",850.6308851132393,0.0,850 (7%),0 (0%)
"Postdisaster
support
package",666.6852292399005,0.0,670 (5.5%),0 (0%)
"Universal
access to
finance",666.297460301445,0.0,670 (5.5%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",422.716881620491,70.61128801364707,420 (3.5%),71 (1.1%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",418.7529015783863,338.6872133235321,420 (3.5%),340 (5.3%)
"Develop market
insurance
(nonpoor people)",245.94159460357284,0.0,250 (2%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",126.31320781663322,101.08905209760475,130 (1%),100 (1.6%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-151.5816425845089,-94.14838401819419,-150 (-1.3%),-94 (-1.5%)
