Peru,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",2867.839325809467,265.3662053367052,2900 (16%),270 (3.7%)
"Increase social
transfers to poor
people to at
least 33%",2727.663530961206,0.0,2700 (15%),0 (0%)
"Universal
access to
finance",1202.2888471996955,0.0,1200 (6.6%),0 (0%)
"Accelerate
reconstruction
(by 33%)",1066.3395993266793,0.0,1100 (5.9%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",964.8171987129859,78.82185160498237,960 (5.3%),79 (1.1%)
"Postdisaster
support
package",925.2655134895439,0.0,930 (5.1%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",434.19044677843476,387.43942056233976,430 (2.4%),390 (5.3%)
"Develop market
insurance
(nonpoor people)",284.0648074811096,0.0,280 (1.6%),0 (0%)
"Increase
income of the
poor 10%",187.1230155124588,-105.09580213997555,190 (1%),-110 (-1.4%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",121.3952932779312,116.51945335155486,120 (0.67%),120 (1.6%)
"Universal
access to early
warnings",110.17007474690246,45.86429593617248,110 (0.61%),46 (0.63%)
