Mexico,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",372.49890064208984,46.38454192387724,370 (7.5%),46 (1.6%)
"Accelerate
reconstruction
(by 33%)",371.85388029963207,0.0,370 (7.5%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",217.3944945290966,167.06586633710145,220 (4.4%),170 (5.8%)
"Universal
access to
finance",175.39359903150844,0.0,180 (3.6%),0 (0%)
"Develop market
insurance
(nonpoor people)",135.96045266032792,0.0,140 (2.8%),0 (0%)
"Postdisaster
support
package",125.34980915890216,0.0,130 (2.5%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",116.75048309224987,13.530378142763137,120 (2.4%),14 (0.47%)
"Universal
access to early
warnings",105.8120904385624,60.937196099742884,110 (2.1%),61 (2.1%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",65.7960626206789,50.46641503337669,66 (1.3%),50 (1.8%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-15.000288624588013,-18.040504190351484,-15 (-0.3%),-18 (-0.63%)
