Togo,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Universal
access to early
warnings",9.07714579227893,4.921616908105712,9.1 (18%),4.9 (17%)
"Accelerate
reconstruction
(by 33%)",4.011059604727924,0.0,4 (8%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",3.970153813764855,0.3328863898323364,4 (8%),0.33 (1.1%)
"Increase social
transfers to poor
people to at
least 33%",3.3124475850251316,0.0,3.3 (6.6%),0 (0%)
"Develop market
insurance
(nonpoor people)",2.2733362951461897,0.0,2.3 (4.6%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",2.0853092226915657,1.795557981436435,2.1 (4.2%),1.8 (6.1%)
"Postdisaster
support
package",2.0716327054777888,0.0,2.1 (4.2%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",1.4306285750341639,0.10892571105664223,1.4 (2.9%),0.11 (0.37%)
"Universal
access to
finance",1.2191864826771839,0.0,1.2 (2.4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",0.6784207805147097,0.526450474397745,0.68 (1.4%),0.53 (1.8%)
"Increase
income of the
poor 10%",0.43285889843721687,-0.14523428140884265,0.43 (0.87%),-0.15 (-0.49%)
