China,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",4786.402840094116,593.144978343338,4800 (6.4%),590 (1.2%)
"Accelerate
reconstruction
(by 33%)",3659.9635523855286,0.0,3700 (4.9%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",3515.0071762908783,3017.2415685160827,3500 (4.7%),3000 (6%)
"Develop market
insurance
(nonpoor people)",3402.2798629315794,0.0,3400 (4.5%),0 (0%)
"Universal
access to early
warnings",2682.735122799438,1676.3532155937194,2700 (3.6%),1700 (3.3%)
"Universal
access to
finance",1847.1512885687712,0.0,1800 (2.5%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",1761.6607313684997,187.68726572250367,1800 (2.3%),190 (0.37%)
"Postdisaster
support
package",1331.5400481089018,0.0,1300 (1.8%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",1067.3528549977416,892.7811852669678,1100 (1.4%),890 (1.8%)
"Increase
income of the
poor 10%",264.87713434364315,-250.24968763000487,260 (0.35%),-250 (-0.5%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
