"Macedonia, FYR",Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",10.433012458016767,1.5941577337805777,10 (7.8%),1.6 (1.9%)
"Accelerate
reconstruction
(by 33%)",7.117321688622265,0.0,7.1 (5.3%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",5.738003202437982,4.769933668463557,5.7 (4.3%),4.8 (5.8%)
"Universal
access to
finance",5.444047062002748,0.0,5.4 (4.1%),0 (0%)
"Postdisaster
support
package",4.929599941890135,0.0,4.9 (3.7%),0 (0%)
"Develop market
insurance
(nonpoor people)",3.5930485306006372,0.0,3.6 (2.7%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",3.3294710651379824,0.48381146211531756,3.3 (2.5%),0.48 (0.59%)
"Universal
access to early
warnings",1.743734785617262,1.0413215006087124,1.7 (1.3%),1 (1.3%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",1.7199054970424026,1.4268179358408153,1.7 (1.3%),1.4 (1.7%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-0.9058028275927752,-0.6450819494870603,-0.91 (-0.68%),-0.65 (-0.78%)
