South Africa,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",240.11016727063654,0.0,240 (8.4%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",159.79277876420116,98.57248039091205,160 (5.6%),99 (6.3%)
"Universal
access to early
warnings",141.04456482620142,74.69526404826044,140 (4.9%),75 (4.7%)
"Develop market
insurance
(nonpoor people)",102.69261124549436,0.0,100 (3.6%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",79.19066215711928,3.1761609788532255,79 (2.8%),3.2 (0.2%)
"Universal
access to
finance",61.28584934267807,0.0,61 (2.1%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",49.30772482381916,29.24848098826742,49 (1.7%),29 (1.9%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",26.46363793499088,0.9945124876451492,26 (0.93%),0.99 (0.06%)
"Postdisaster
support
package",24.773949999186993,0.0,25 (0.87%),0 (0%)
"Increase
income of the
poor 10%",9.962763168104171,-1.3260166501939297,10 (0.35%),-1.3 (-0.08%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
