Vietnam,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",744.8754529968948,162.65192619276428,740 (7.8%),160 (2.4%)
"Accelerate
reconstruction
(by 33%)",521.4394574840336,0.0,520 (5.5%),0 (0%)
"Universal
access to early
warnings",463.6381442757931,328.5832207639732,460 (4.9%),330 (4.8%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",417.070952559576,387.6866227662544,420 (4.4%),390 (5.6%)
"Develop market
insurance
(nonpoor people)",308.36579139397236,0.0,310 (3.2%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",223.19420815572738,0.0,220 (2.3%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",219.72432065341377,45.51785959193897,220 (2.3%),46 (0.66%)
"Postdisaster
support
package",189.47533444102478,-1.9073486328125e-12,190 (2%),-0 (-0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",128.02425175426674,118.2591262033615,130 (1.3%),120 (1.7%)
"Universal
access to
finance",110.19619224980354,0.0,110 (1.2%),0 (0%)
"Increase
income of the
poor 10%",5.725914523527145,-60.69047945592022,5.7 (0.06%),-61 (-0.88%)
