Hungary,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce
exposure of the nonpoor by 5%
of total exposure",162.1099218131728,131.6209290328846,160 (6.2%),130 (6.3%)
"Accelerate
reconstruction
(by 33%)",113.27700537766647,0.0,110 (4.3%),0 (0%)
"Develop market
insurance
(nonpoor people)",105.15503824619864,0.0,110 (4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",46.83118102286291,37.785649764987944,47 (1.8%),38 (1.8%)
"Universal
access to
finance",41.453106772822856,0.0,41 (1.6%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",30.37459777239227,14.077492325079202,30 (1.2%),14 (0.68%)
"Postdisaster
support
package",16.154218354390622,2.384185791015625e-13,16 (0.62%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",11.678334258255958,4.95080952512145,12 (0.45%),5 (0.24%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Universal
access to early
warnings",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-8.367942536497116,-6.60107936682868,-8.4 (-0.32%),-6.6 (-0.32%)
