Mongolia,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",21.292836640868753,4.6563188456111995,21 (12%),4.7 (4.5%)
"Universal
access to early
warnings",14.914599231413751,8.255719487085237,15 (8.3%),8.3 (8%)
"Postdisaster
support
package",8.867835090596198,0.0,8.9 (4.9%),0 (0%)
"Universal
access to
finance",8.5372726300582,0.0,8.5 (4.7%),0 (0%)
"Accelerate
reconstruction
(by 33%)",7.4722624783347245,0.0,7.5 (4.1%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",7.413964170701891,1.4984877476751357,7.4 (4.1%),1.5 (1.4%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",5.708621731762111,5.321347359199926,5.7 (3.2%),5.3 (5.1%)
"Develop market
insurance
(nonpoor people)",3.926275683147609,0.0,3.9 (2.2%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",1.6483297381746471,1.5673787673313915,1.6 (0.92%),1.6 (1.5%)
"Increase social
transfers to poor
people to at
least 33%",0.9345977012041211,0.0,0.93 (0.52%),0 (0%)
"Increase
income of the
poor 10%",-0.7435201209576427,-1.9979836635668575,-0.74 (-0.41%),-2 (-1.9%)
