Niger,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",42.06159516041253,10.021812441772193,42 (25%),10 (11%)
"Increase social
transfers to poor
people to at
least 33%",34.597728434359695,0.0,35 (20%),0 (0%)
"Universal
access to early
warnings",16.715239897848964,8.243132095345496,17 (9.9%),8.2 (9.1%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",8.808131672208308,1.8339916768443136,8.8 (5.2%),1.8 (2%)
"Accelerate
reconstruction
(by 33%)",8.386777765299886,0.0,8.4 (5%),0 (0%)
"Universal
access to
finance",7.853896128709554,0.0,7.9 (4.6%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",3.8241646971433756,3.771140699936032,3.8 (2.3%),3.8 (4.2%)
"Postdisaster
support
package",3.421594263519138,0.0,3.4 (2%),0 (0%)
"Develop market
insurance
(nonpoor people)",3.162477517069042,0.0,3.2 (1.9%),0 (0%)
"Increase
income of the
poor 10%",1.7306003843687474,-2.4453222357923834,1.7 (1%),-2.4 (-2.7%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",1.252189860198468,1.2416480754539667,1.3 (0.74%),1.2 (1.4%)
