Israel,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",37.32234186367947,0.0,37 (7.4%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",29.501599578352568,2.8911172174577118,30 (5.8%),2.9 (0.93%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",24.172886560571015,18.755895337412355,24 (4.8%),19 (6%)
"Develop market
insurance
(nonpoor people)",19.495765810258984,0.0,19 (3.9%),0 (0%)
"Postdisaster
support
package",15.898821746896326,0.0,16 (3.2%),0 (0%)
"Universal
access to
finance",10.245199768600822,0.0,10 (2%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",9.33413869469577,0.8679188732639551,9.3 (1.9%),0.87 (0.28%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",7.614410793999672,5.625821911256432,7.6 (1.5%),5.6 (1.8%)
"Increase
income of the
poor 10%",1.1369595775563717,-1.1572251643520592,1.1 (0.23%),-1.2 (-0.37%)
"Universal
access to early
warnings",0.8551911121188998,0.49732443109226226,0.86 (0.17%),0.5 (0.16%)
"Increase social
transfers to poor
people to at
least 33%",-6.198883056640625e-12,0.0,-0 (-0%),0 (0%)
