Slovenia,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",21.038554352508843,8.839302095692634,21 (5.1%),8.8 (2.8%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",20.91249223897344,17.813681281312167,21 (5%),18 (5.6%)
"Accelerate
reconstruction
(by 33%)",18.45351276090437,0.0,18 (4.4%),0 (0%)
"Develop market
insurance
(nonpoor people)",16.450828949783922,0.0,16 (4%),0 (0%)
"Universal
access to
finance",8.39333031334895,0.0,8.4 (2%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",7.000225063261688,2.685937716510117,7 (1.7%),2.7 (0.84%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",6.279938365295231,5.326900386492849,6.3 (1.5%),5.3 (1.7%)
"Postdisaster
support
package",5.096369391970158,0.0,5.1 (1.2%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Universal
access to early
warnings",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-3.8642796870830654,-3.5812502886801956,-3.9 (-0.93%),-3.6 (-1.1%)
