Mali,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",38.723391910404786,6.207703438993752,39 (25%),6.2 (10%)
"Increase social
transfers to poor
people to at
least 33%",32.41809185730073,0.0,32 (21%),0 (0%)
"Accelerate
reconstruction
(by 33%)",18.388414835528224,0.0,18 (12%),0 (0%)
"Universal
access to early
warnings",14.635901000979572,5.65492289846722,15 (9.4%),5.7 (9.1%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",7.535533501856774,1.136009729335852,7.5 (4.9%),1.1 (1.8%)
"Universal
access to
finance",5.895388943130433,0.0,5.9 (3.8%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",3.471340446388751,2.679803843507655,3.5 (2.2%),2.7 (4.3%)
"Increase
income of the
poor 10%",2.172434978198111,-1.5146796391144917,2.2 (1.4%),-1.5 (-2.4%)
"Develop market
insurance
(nonpoor people)",2.049800359681904,0.0,2 (1.3%),0 (0%)
"Postdisaster
support
package",1.8289282265018523,0.0,1.8 (1.2%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",1.137347526380062,0.8823254154748916,1.1 (0.73%),0.88 (1.4%)
