Costa Rica,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",48.24621606361407,0.0,48 (9.7%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",40.03494892719519,3.8286988246113953,40 (8%),3.8 (1.5%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",21.486933000146628,15.014427096714318,21 (4.3%),15 (5.9%)
"Universal
access to
finance",18.13605761282259,0.0,18 (3.6%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",13.33250782478112,1.148609647383362,13 (2.7%),1.1 (0.45%)
"Develop market
insurance
(nonpoor people)",11.705265475636958,0.0,12 (2.3%),0 (0%)
"Postdisaster
support
package",7.03591181323719,0.0,7 (1.4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",6.282259452389061,4.504328129014342,6.3 (1.3%),4.5 (1.8%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Universal
access to early
warnings",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-0.4310317054907679,-1.5314795298446118,-0.43 (-0.09%),-1.5 (-0.6%)
