Belarus,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",71.38621511451304,0.0,71 (7.8%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",70.77271573687028,22.459605997314334,71 (7.7%),22 (3.8%)
"Universal
access to early
warnings",44.51032916143262,27.878778010889647,45 (4.9%),28 (4.8%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",39.38139237144315,31.06421109345424,39 (4.3%),31 (5.3%)
"Universal
access to
finance",26.497680964704156,0.0,26 (2.9%),0 (0%)
"Develop market
insurance
(nonpoor people)",24.72828451292634,0.0,25 (2.7%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",23.488006456844566,7.014195252150774,23 (2.6%),7 (1.2%)
"Postdisaster
support
package",19.088490169937373,0.0,19 (2.1%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",11.653045301913261,9.223720028750181,12 (1.3%),9.2 (1.6%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-9.25914499925506,-9.352260336200713,-9.3 (-1%),-9.4 (-1.6%)
