Bulgaria,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",25.320618210824666,0.0,25 (6.6%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",19.50850230833924,15.252236886925935,20 (5.1%),15 (5.8%)
"Reduce exposure
of the poor by 5%
of total exposure",18.33861247856283,4.289274670722634,18 (4.8%),4.3 (1.6%)
"Develop market
insurance
(nonpoor people)",12.829882081714867,0.0,13 (3.3%),0 (0%)
"Universal
access to
finance",9.15169112157315,0.0,9.2 (2.4%),0 (0%)
"Universal
access to early
warnings",6.073336513621569,4.170133686420619,6.1 (1.6%),4.2 (1.6%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",5.946215875448048,4.634210234580993,5.9 (1.5%),4.6 (1.8%)
"Postdisaster
support
package",5.882604234914243,0.0,5.9 (1.5%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",5.611460266947328,1.2209322378428578,5.6 (1.5%),1.2 (0.46%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-1.6430721855943202,-1.627909650457084,-1.6 (-0.43%),-1.6 (-0.62%)
