Spain,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce
exposure of the nonpoor by 5%
of total exposure",59.98327625854098,53.84825575639665,60 (5.3%),54 (6%)
"Universal
access to early
warnings",48.114800498685,37.99716395009613,48 (4.3%),38 (4.3%)
"Reduce exposure
of the poor by 5%
of total exposure",43.13368751188731,10.745005778220175,43 (3.8%),11 (1.2%)
"Accelerate
reconstruction
(by 33%)",38.42533411875915,0.0,38 (3.4%),0 (0%)
"Develop market
insurance
(nonpoor people)",36.00013816287041,0.0,36 (3.2%),0 (0%)
"Postdisaster
support
package",18.08439081065559,-1.1920928955078124e-13,18 (1.6%),-0 (-0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",17.333589194426775,15.8543036661942,17 (1.5%),16 (1.8%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",15.277683309648275,3.463090646915078,15 (1.4%),3.5 (0.39%)
"Universal
access to
finance",7.616111977353572,0.0,7.6 (0.68%),0 (0%)
"Increase
income of the
poor 10%",1.2780598518347739,-4.617454195887446,1.3 (0.11%),-4.6 (-0.52%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
