Brazil,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Universal
access to early
warnings",1584.220098414937,915.6373804800853,1600 (18%),920 (17%)
"Reduce exposure
of the poor by 5%
of total exposure",658.9961154567976,49.59090368854046,660 (7.4%),50 (0.9%)
"Accelerate
reconstruction
(by 33%)",514.4437923704862,0.0,510 (5.8%),0 (0%)
"Develop market
insurance
(nonpoor people)",393.4869794048271,0.0,390 (4.4%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",387.7958109653559,336.9230070911274,390 (4.4%),340 (6.1%)
"Increase social
transfers to poor
people to at
least 33%",343.22159937416075,0.0,340 (3.9%),0 (0%)
"Postdisaster
support
package",300.1397360400858,0.0,300 (3.4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",249.43172772307776,16.110960873456953,250 (2.8%),16 (0.29%)
"Universal
access to
finance",224.58032244293403,0.0,220 (2.5%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",117.83726860421562,98.98146508564567,120 (1.3%),99 (1.8%)
"Increase
income of the
poor 10%",74.61658278822708,-21.481281164610863,75 (0.84%),-21 (-0.39%)
