Guatemala,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",509.7973621267786,30.68782268471968,510 (17%),31 (4.3%)
"Increase social
transfers to poor
people to at
least 33%",399.17387168588493,0.0,400 (14%),0 (0%)
"Accelerate
reconstruction
(by 33%)",353.7467046728792,0.0,350 (12%),0 (0%)
"Universal
access to
finance",221.78879921688699,0.0,220 (7.6%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",167.7981785413766,9.52269142953837,170 (5.7%),9.5 (1.3%)
"Postdisaster
support
package",165.5274141522498,0.0,170 (5.6%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",52.910131092784404,37.4373927162013,53 (1.8%),37 (5.2%)
"Universal
access to early
warnings",35.31564147924185,6.469443607308626,35 (1.2%),6.5 (0.9%)
"Increase
income of the
poor 10%",28.667928653171536,-12.696921906051397,29 (0.98%),-13 (-1.8%)
"Develop market
insurance
(nonpoor people)",24.375581372668265,0.0,24 (0.83%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",15.042426452279567,11.134737216932177,15 (0.51%),11 (1.5%)
