country,income_cat,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,wprime,dWref,dWtot_currency,risk,resilience,risk_to_assets,income_losses_pre,income_losses_post
Albania,nonpoor,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1,0.17475920840499998,121.86713516140003,350502189.30483776,1.46496863188682e-06,4.213397747138315,0.0,0.09645449,12940.250683933264,121.66342820579892,136.06199011835707,136.06199011835707,121.86713516140003,1.46496863188682e-06,0.004497173974830347,1.099796394883797,0.0,50.73066447695331,0.0,70385.98354829605,1.0,0.0,0.17765110199999995,0.3849999999999996,0.3849999999999996,120.68103502240622,1.2139178551251462e-08,1.4793669132537301e-06,347090845.50897753,0.010624106406785324,1.0098283888497774,0.010728524255732622,14.194854956957045,14.194854956957045
Albania,poor,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1,0.17475920840499998,61.540764712947656,176997454.93167344,3.1775791157698602e-06,9.139038472444813,0.0,0.04461802999999999,5034.84926426694,62.35559253535213,69.73522068618637,69.73522068618637,61.540764712947656,3.1775791157698602e-06,0.004349737699669071,0.6008144204648119,0.0,49.91544518532095,0.0,24996.74090361006,1.0,0.0,0.24835010100000005,0.5660000000000001,0.5660000000000001,261.7622850141103,1.2139178551251462e-08,7.47054331031027e-07,752854769.6913677,0.023044137537905962,0.2351017248708319,0.005417716483322377,8.19445597323871,8.19445597323871
Albania,total,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1,0.17475920840499998,109.80186107170958,315801242.430205,1.8074907286634283e-06,5.198525892199614,0.0,0.08608719800000002,11359.170399999999,109.8018610717096,122.79663623192295,122.79663623192295,109.80186107170958,1.8074907286634283e-06,0.004467686719798093,1.0000000000000004,0.0,50.567620618626854,0.0,61308.13501935889,1.0,0.0,0.19179090180000005,0.4211999999999999,0.4211999999999999,148.89728502074706,1.2139178551251462e-08,1.3329043968091897e-06,428243630.34545565,0.013108112633009454,0.7374336009982317,0.009666362701250574,12.994775160213365,12.994775160213365
Algeria,nonpoor,13921.180019999998,13974.66622,40606052,0.094,0.71304,3843.752322,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.2889104503291931,1,0.12955854598878927,47.9965645533522,1948950996.0747757,4.857714696852843e-07,19.72526155815708,37.947676430207885,0.16478049999999994,15772.139217521317,49.92251783478002,65.21926621754282,60.71793607670038,47.9965645533522,4.857714696852843e-07,0.008838290364205283,1.0578010979238386,34.78289800839078,76.93636799118597,30.281567867548343,55208.17433685574,1.0,0.48000000000000015,0.1358511599485662,0.09999999999999998,0.0904,54.29259734115559,8.947287355454137e-09,4.2943905513344636e-07,2204608030.8500257,0.0038999996597382986,0.8840351521913506,0.0034477367927429627,12.721371523348182,17.222701664190623
Algeria,poor,13921.180019999998,13974.66622,40606052,0.094,0.71304,3843.752322,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.2889104503291931,1,0.12955854598878927,97.47458902271819,3958058230.5351243,2.6776730234182093e-06,108.72973002791704,151.7907057208315,0.10180030000000002,6517.343229914717,89.77077589700689,91.17779897618335,109.18311953955316,97.47458902271819,2.6776730234182093e-06,0.008975062410632161,0.7687956083046443,12.659113687268349,77.8935339489105,30.664434250638152,20092.82134076905,1.0,0.48000000000000015,0.23790884250413077,0.5503923999999999,0.4975547295999999,299.2720493978478,8.947287355454137e-09,8.721331578410551e-07,12152256399.995577,0.021497606450595116,0.32570562208813875,0.007001891282397066,11.70853051683497,-6.296790046534838
Algeria,total,13921.180019999998,13974.66622,40606052,0.094,0.71304,3843.752322,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.2889104503291931,1,0.12955854598878927,57.892169447225406,2350772442.966846,9.241517804318697e-07,37.526155252109085,30.35814114416631,0.15218446000000005,13921.18002,57.8921694472254,70.41097276927094,70.41097276927096,57.892169447225406,9.241517804318697e-07,0.008865644773490661,1.0,30.3581411441663,77.12780118273089,30.358141144166318,48185.10373763843,1.0,0.48000000000000015,0.15626269645967922,0.19007848000000005,0.17183094592000006,103.28848775249408,8.947287355454137e-09,5.179778756749682e-07,4194137704.6791377,0.007419521017909665,0.5604900478933337,0.004158567690673784,12.51880332204555,12.518803322045535
Angola,nonpoor,5984.640422,6024.726138,28813463,0.054000000000000006,0.44819,3110.808183,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.43239739052511456,1,0.10613230399367693,8.673810504649104,249922518.04471827,3.148780005201932e-07,9.072725617502567,0.0,0.22208069999999996,7083.453418603518,8.727214916336477,11.79736546566959,11.79736546566959,8.673810504649104,3.148780005201932e-07,0.0007554337593605728,1.17326260197662,0.0,0.9126567716989841,0.0,16402.70600862844,1.0,0.0,0.12636364229921868,0.6999999999999997,0.6999999999999997,9.919102198509487,3.17446069431071e-08,2.7534670516907926e-07,285803684.18997175,0.0016574265952631175,0.8744552007894919,0.0014493453061546534,3.123554961020485,3.123554961020485
Angola,poor,5984.640422,6024.726138,28813463,0.054000000000000006,0.44819,3110.808183,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.43239739052511456,1,0.10613230399367693,4.056244091254003,116874439.04231583,1.2465801613899903e-06,35.91829135674451,0.0,0.0402588,1589.388435585927,3.8426264445045106,5.194425592637532,5.194425592637532,4.056244091254003,1.2465801613899903e-06,0.003763948633776358,0.3069495920935197,0.0,2.199482354019526,0.0,3592.188670212524,1.0,0.0,0.14478759478918546,0.30000000000000004,0.30000000000000004,39.26903752892955,3.17446069431071e-08,1.2876387434215898e-07,1131476959.8854232,0.006561636917161061,0.10329369769416333,0.0006777757401000964,1.1381815013835288,1.1381815013835288
Angola,total,5984.640422,6024.726138,28813463,0.054000000000000006,0.44819,3110.808183,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.43239739052511456,1,0.10613230399367693,7.750297221970085,223312902.24423784,5.012184326941526e-07,14.441838765350957,0.0,0.18571632000000005,5984.6404219999995,7.750297221970087,10.476777491063181,10.476777491063181,7.750297221970085,5.012184326941526e-07,0.0013571367342437302,1.0,0.0,1.1700218881630926,0.0,13840.602540945256,1.0,0.0,0.1300484327972121,0.6199999999999999,0.6199999999999999,15.7890892645935,3.17446069431071e-08,2.4603013900369525e-07,454938339.329062,0.002638268659642706,0.4908641082516308,0.001295031392943742,2.7264802690930967,2.7264802690930967
Antigua and Barbuda,nonpoor,21013.01763,20777.613080000006,100963,0.0103,0.23393000000000005,14353.37881,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4166666666666667,0.4005106416086056,1,0.12371490701349915,2558.1277651381447,258276253.5516425,1.2347271280153434e-05,1.2466175502581311,34.822181038476295,0.15299999999999997,25995.11603557294,2555.405563150586,3384.1354258418914,3377.398142743722,2558.1277651381447,1.2347271280153434e-05,0.16406267796279528,1.225098259946419,34.51666337676556,100.0057690029438,27.7793802785955,65006.56469537087,1.0,0.31999999999999995,0.1376634702951206,0.21898394880386873,0.20494525221012583,2559.5933871733687,4.823919041996305e-09,1.2340201238109347e-05,258424227.14918482,0.1218098910039019,0.9994274004447079,0.12174014271448289,819.2703776055773,826.0076607037468
